,ADDRESS,LATITUDE,LONGITUDE
334,168 COTTAGE ST Apt. 202,42.3701432,-71.03294149999999
335,557 E SECOND ST Apt. 557-1,42.3371634,-71.0409442
336,76 MARINE RD,42.3308044,-71.03628900000001
337,13 TELEGRAPH ST Apt. 1,42.332745,-71.0502875
338,1300 SHIPWAY PL Apt. PS-48,42.3765875,-71.0517491
339,474 DORCHESTER AV,42.3325188,-71.056416
340,84 O ST Apt. 3,42.3353122,-71.0289256
341,165 COLUMBIA RD,42.30596610000001,-71.0778107
342,6 LAWSON PL,42.3800499,-71.0282775
343,2 HAWTHORNE PL Apt. 7-R,42.3642406,-71.066169
344,68 I ST,42.3359592,-71.0397248
345,2 HAWTHORNE PL Apt. 11-A,42.3642406,-71.066169
346,6 WHITTIER PL Apt. 5L-6,42.3657336,-71.0669497
347,137 D ST Apt. 6,42.335947,-71.0539326
348,44 LINDEN ST,42.3540742,-71.13002089999999
349,42 EIGHTH ST Apt. 1103,42.3749988,-71.0520878
350,170 W BROADWAY Apt. PS-B25,42.3405077,-71.0528643
351,2 BOSTON ST,42.329462,-71.05703129999999
352,2 BAY VIEW PL,42.3317577,-71.0392025
353,58 THOMAS PK,42.3319391,-71.045707
354,22 LIBERTY DR Apt. B2-6,42.3545427,-71.0452696
355,14 I ST Apt. PS 6,42.3810374,-71.0800593
356,430 SUMMER ST,42.3466377,-71.0424367
357,21 WORMWOOD ST Apt. 409,42.3469839,-71.0502336
358,25 CHANNEL CENTER ST Apt. 1006,42.3460654,-71.0507949
359,3 LEEDS ST,42.33055100000001,-71.055831
360,84 MARINE RD,42.3308072,-71.0358711
361,371 DORCHESTER ST Apt. 3,42.33042529999999,-71.0557448
362,2 HAWTHORNE PL Apt. 15-K,42.3642406,-71.066169
363,42 EIGHTH ST Apt. 2508,42.3749988,-71.0520878
364,350 W BROADWAY Apt. 3,42.3383228,-71.0494676
365,6 BOLTON PL,42.378757,-71.066282
366,235 BOSTON ST Apt. 2,42.3218485,-71.06155729999999
367,83 BOSTON ST,42.3266208,-71.058887
368,314 W SECOND ST Apt. 406,42.3390786,-71.0472042
369,42 EIGHTH ST Apt. 4209,42.3749988,-71.0520878
370,1488 COLUMBIA RD Apt. 1,42.33107260000001,-71.0408561
371,150 DORCHESTER AV Apt. 312,42.3418223,-71.05691519999999
372,12 I ST Apt. 3,42.3376428,-71.0397681
373,67 LINDEN ST,42.3056679,-71.0608963
374,49 L ST Apt. PS-1,42.3366049,-71.0356854
375,53 THOMAS PK Apt. 6,42.3319394,-71.0463541
376,122 TUDOR ST Apt. 122F,42.3361226,-71.0527121
377,357 SILVER ST,42.33483529999999,-71.04563569999999
378,HUMPHREYS PL,42.3192613,-71.06786319999999
379,272 E ST Apt. 272-2,42.3364561,-71.05109999999999
380,219 GOLD ST,42.3362468,-71.0498571
381,346 CONGRESS ST Apt. 205,42.3506856,-71.0486803
382,291 K ST,42.3336022,-71.03744979999999
383,160 O ST Apt. 1,42.3327151,-71.02893379999999
384,5 GRIMES ST,42.3341863,-71.0513437
385,119 H ST,42.333631,-71.0416941
386,1 AKRON PL,42.3257033,-71.0847813
387,6 WHITTIER PL Apt. 16N-6,42.3657336,-71.0669497
388,24 P ST Apt. B,42.3373468,-71.0270029
389,4 BARRETT AV,42.3310572,-71.0336425
390,188 GOLD ST Apt. 1,42.3371489,-71.0508785
391,350 W BROADWAY Apt. PS-11,42.3382947,-71.049475
392,71 FARRAGUT RD Apt. 4,42.3356394,-71.0253839
393,36 A ST Apt. 2-B,42.3413714,-71.0564299
394,8 COLEBROOK ST,42.3326856,-71.0420437
395,833 DORCHESTER AV,42.3222752,-71.0569964
396,10 BREWSTER ST,42.3317924,-71.04032839999999
397,670 DORCHESTER AV Apt. 3,42.3273425,-71.0565763
398,99 BAXTER ST Apt. 3,42.3348209,-71.0530188
399,293 W SECOND ST Apt. 2,42.3393389,-71.0482875
400,40 BUTLER ST Apt. 1,42.2729261,-71.0635046
401,22 LIBERTY DR Apt. PH1D,42.3545427,-71.0452696
402,87 O ST,42.3351889,-71.02947379999999
403,35 CHANNEL CENTER ST Apt. 209,42.3463778,-71.05055349999999
404,215 L ST Apt. 2,42.3311807,-71.0354925
405,856 DORCHESTER AV,42.3215305,-71.0565687
406,437 D ST Apt. 2G,42.3451429,-71.0429517
407,141 DORCHESTER AV Apt. 812,42.3419516,-71.0574969
408,875 COLUMBIA RD,42.3213943,-71.05295699999999
409,151 M ST,42.3327998,-71.0334103
410,98 N ST,42.33503229999999,-71.0310868
411,1306 COLUMBIA RD Apt. 4E,42.3306188,-71.0470375
412,754 E FOURTH ST,42.3349319,-71.03415319999999
413,83 COLUMBIA RD,42.3045638,-71.08141669999999
414,110 I ST,42.334244,-71.0397365
415,120 MARINE RD,42.3308295,-71.03431630000001
416,346 E ST Apt. 1,42.338507,-71.04870249999999
417,480 E FOURTH ST Apt. 3,42.3346929,-71.04586400000001
418,141 DORCHESTER AV Apt. 314,42.3419516,-71.0574969
419,116 F ST Apt. 1,42.336319,-71.0485994
420,11 STORY ST,42.3333703,-71.0436617
421,WORMWOOD ST,42.34725390000001,-71.04987729999999
422,689 E FOURTH ST Apt. PS-15,42.3345478,-71.0370087
423,55 SEAPORT BL,42.3492882,-71.0415391
424,291 D ST,42.3397142,-71.0495795
425,133 MARINE RD,42.3305082,-71.0336889
426,7 HOPKINS PL,42.2713205,-71.0906741
427,2 WYMAN PL,42.3226129,-71.1020753
428,400 FRONTAGE RD,42.34086629999999,-71.0612269
429,16 KNOWLTON ST,42.3324485,-71.0496491
430,6 WHITTIER PL Apt. 11D-6,42.3657336,-71.0669497
431,274 SOUTHAMPTON ST,42.331483,-71.0636123
432,68 MIDDLE ST Apt. 2,42.3320386,-71.056405
433,2 WOODS PL,42.3818913,-71.0668274
434,335 W SECOND ST Apt. 22,42.3385064,-71.04716189999999
435,6 LEXINGTON PL,42.3771893,-71.0397035
436,626 E FOURTH ST,42.3348102,-71.0395739
437,51 WOODWARD ST Apt. 1,42.330696,-71.0556667
438,110 O ST Apt. 8,42.3342831,-71.0288023
439,6 CLINTON PL,42.3834852,-71.077575
440,137 D ST Apt. 2,42.335947,-71.0539326
441,BOSTON WHARF RD,42.3505677,-71.0464252
442,114HF OLD HARBOR ST,42.332474,-71.047446
443,130 W BROADWAY,42.3411984,-71.053995
444,6 WHITTIER PL Apt. 7N-6,42.3657336,-71.0669497
445,12 MOHAWK ST Apt. 4,42.3287078,-71.0554823
446,67A BOLTON ST Apt. 67A,42.3414361,-71.0522436
447,53 M ST,42.3362243,-71.03351479999999
448,44 NINTH ST Apt. 44,42.3352397,-71.0550402
449,314 W SECOND ST Apt. 510,42.3390786,-71.0472042
450,152 O ST Apt. 2,42.3329373,-71.0289375
451,44 GATES ST,42.3324611,-71.0480937
452,170 W BROADWAY Apt. 411,42.3405077,-71.0528643
453,2 HAWTHORNE PL Apt. 3-C,42.3642406,-71.066169
454,141 DORCHESTER AV Apt. 707,42.3419516,-71.0574969
455,516 COLUMBIA RD,42.3151356,-71.06728
456,33 SLEEPER ST Apt. 409,42.3519914,-71.04889680000001
457,39 DORCHESTER ST Apt. 12,42.3366792,-71.0443288
458,256 BOWEN ST Apt. 1,42.3349892,-71.0491955
459,165 M ST Apt. 165-1,42.3324532,-71.03341929999999
460,6 SPRINGER ST,42.3317525,-71.0407463
461,155 I ST,42.332821,-71.0399918
462,7 ELLERY ST,42.3303068,-71.0585749
463,357 COLUMBIA RD,42.3104665,-71.0711566
464,42 EIGHTH ST Apt. 1205,42.3749988,-71.0520878
465,2 PARK PL,42.31304780000001,-71.1148414
466,132 BOSTON ST Apt. 1,42.3248925,-71.0590496
467,11 MERCER ST Apt. 2,42.3333823,-71.0492083
468,141 A ST,42.3436627,-71.0533482
469,1754 COLUMBIA RD Apt. 2,42.3305168,-71.03243979999999
470,8 DOUGLAS ST Apt. 2,42.3309398,-71.0425731
471,42 EIGHTH ST Apt. 3201,42.3749988,-71.0520878
472,108 EMERSON ST Apt. 3,42.336008,-71.0405403
473,23 DORCHESTER ST,42.336945,-71.04391509999999
474,392 COLUMBIA RD,42.311615,-71.07015849999999
